iter	Accuracy	MultiClass
0	0.5825153215	1.078383826
1	0.5965513659	1.059968992
2	0.6108146359	1.043848084
3	0.6352835774	1.028436435
4	0.6357445206	1.01569918
5	0.6376856757	1.002583481
6	0.6376856757	0.9906711611
7	0.6368611717	0.9795744929
8	0.6360301755	0.9699928282
9	0.6381725875	0.9596964085
10	0.645696998	0.9498776414
11	0.650273969	0.9418154498
12	0.6503259063	0.9332053134
13	0.6563441363	0.925511357
14	0.6680949413	0.9178758745
15	0.6679456217	0.9103487921
16	0.6710618573	0.9024047828
17	0.6757751636	0.8967263491
18	0.6796639659	0.8893392591
19	0.6793328659	0.8836736972
20	0.6885192687	0.8770298869
21	0.689233406	0.8701636593
22	0.6868442921	0.8653313148
23	0.6874285863	0.8594684715
24	0.6955697517	0.8529758788
25	0.7015490288	0.8473175307
26	0.7018671445	0.8428889019
27	0.7006660954	0.8371943954
28	0.7035875662	0.8313535569
29	0.7109691493	0.8265760957
30	0.7161693674	0.8208813299
31	0.7147605692	0.8171595083
32	0.7165199439	0.8136141897
33	0.7146761712	0.8096861646
34	0.7174677989	0.804760034
35	0.7184870676	0.8011758456
36	0.7196816246	0.7954785441
37	0.7180975382	0.7916759545
38	0.7227589072	0.7878940835
39	0.7256089644	0.7835552994
40	0.723531474	0.7796799013
41	0.7279526332	0.7744816499
42	0.7294523216	0.770923918
43	0.7315038434	0.7670272955
44	0.7287187078	0.7643715497
45	0.7316207022	0.7600161079
46	0.7321270905	0.7545408826
47	0.7332177729	0.7511912439
48	0.7335293965	0.7488059667
49	0.7349252103	0.7450892615
50	0.7361522281	0.7410835769
51	0.7406123403	0.7372618973
52	0.7433844915	0.7329666952
53	0.7499935078	0.7307089509
54	0.7502986392	0.7287554448
55	0.7520125688	0.7260795077
56	0.753668069	0.7232193432
57	0.7508634569	0.721598615
58	0.7508959177	0.7194224531
59	0.7525319414	0.7170315366
60	0.7562519476	0.7143369991
61	0.7616469305	0.7109306376
62	0.762575309	0.7088734741
63	0.7619390776	0.7071012536
64	0.763769866	0.7057241614
65	0.763523164	0.7027255589
66	0.7628739483	0.7012496693
67	0.7646268308	0.6979815897
68	0.7680936429	0.6960293503
69	0.7688791939	0.6940912447
70	0.7698595097	0.6916661149
71	0.7726576296	0.6879262856
72	0.7726251688	0.686252337
73	0.7745858004	0.6841606465
74	0.7728459022	0.6820265814
75	0.7745663239	0.6806562435
76	0.7767347045	0.6789616743
77	0.7822595305	0.6764751135
78	0.7814350265	0.6743349159
79	0.7873753506	0.6700705538
80	0.7877389114	0.667957767
81	0.7891152488	0.6655545732
82	0.7937052041	0.6628795508
83	0.792134102	0.6615575072
84	0.7984704477	0.658523523
85	0.7989638517	0.6567843509
86	0.7996520204	0.6547518706
87	0.8037226031	0.6520162415
88	0.8070076348	0.6501142428
89	0.8071180015	0.6479560742
90	0.8089617742	0.6465270437
91	0.8105523528	0.6425154331
92	0.812415602	0.6398041859
93	0.811675496	0.6380087454
94	0.8129674353	0.6355530402
95	0.8131946608	0.6341318242
96	0.8145839825	0.6325649522
97	0.8155642983	0.6309227126
98	0.8157071258	0.6291232106
99	0.8153955022	0.6281243581
100	0.8169730965	0.6269903424
101	0.8174405318	0.6257011225
102	0.818479277	0.6231917235
103	0.819219383	0.6213826093
104	0.8223031578	0.6194250079
105	0.8233808559	0.6160563367
106	0.8254908071	0.6142373336
107	0.8270424327	0.6128143496
108	0.8251337384	0.6117720307
109	0.8268281915	0.6103180718
110	0.8289251584	0.6090728712
111	0.8292822271	0.6065747765
112	0.8293471486	0.6052833604
113	0.8266269347	0.6033661506
114	0.8301911291	0.6005125588
115	0.8311779371	0.5980913572
116	0.8317362626	0.5962917764
117	0.8320868391	0.5946452706
118	0.8328983588	0.5932561585
119	0.8327685156	0.5918185747
120	0.8341643295	0.5902603284
121	0.8349498805	0.5892045027
122	0.8368585748	0.5875569302
123	0.8369364807	0.5866524263
124	0.8386504103	0.5843484495
125	0.842428846	0.582618514
126	0.8434805755	0.5815977891
127	0.8445842422	0.5796077177
128	0.8465968111	0.5777841817
129	0.8465968111	0.5764760382
130	0.8483626779	0.5744565745
131	0.8506544095	0.5728041597
132	0.8506738859	0.5707022738
133	0.8506284408	0.5689998199
134	0.8509270801	0.5675247447
135	0.8514659292	0.5662911082
136	0.8536797549	0.5639833872
137	0.8543224784	0.5625200173
138	0.8568738963	0.5611843017
139	0.8585878259	0.5591365044
140	0.8585878259	0.5583757809
141	0.8586073024	0.5559249371
142	0.859334424	0.5543808926
143	0.8602692947	0.5533543337
144	0.8613405007	0.5521278053
145	0.8623467851	0.5511470415
146	0.8650345383	0.5485699654
147	0.8643074166	0.5470536832
148	0.8641126519	0.545556931
149	0.8665537031	0.5434024563
150	0.8670535993	0.5419051068
151	0.8686636543	0.5397377056
152	0.8699231329	0.5373722041
153	0.8701178976	0.5358866172
