iter	Passed	Remaining
0	98	48978
1	183	45588
2	257	42725
3	344	42732
4	424	42037
5	510	42007
6	596	42031
7	694	42685
8	783	42750
9	856	41951
10	935	41569
11	1007	40988
12	1080	40472
13	1151	39964
14	1221	39510
15	1297	39235
16	1382	39277
17	1456	38994
18	1529	38708
19	1605	38536
20	1711	39037
21	1864	40504
22	1935	40140
23	2035	40363
24	2124	40374
25	2209	40281
26	2298	40258
27	2371	39977
28	2442	39675
29	2512	39369
30	2580	39045
31	2651	38783
32	2720	38494
33	2791	38257
34	2857	37958
35	2930	37765
36	3007	37630
37	3082	37480
38	3151	37250
39	3228	37125
40	3298	36929
41	3375	36813
42	3455	36729
43	3530	36593
44	3602	36430
45	3681	36332
46	3749	36142
47	3821	35987
48	3895	35857
49	3968	35714
50	4037	35548
51	4113	35436
52	4184	35294
53	4266	35234
54	4343	35144
55	4413	34988
56	4495	34942
57	4572	34848
58	4652	34778
59	4725	34652
60	4804	34580
61	4877	34460
62	4953	34359
63	5032	34285
64	5107	34181
65	5172	34013
66	5243	33886
67	5320	33797
68	5399	33725
69	5476	33643
70	5560	33597
71	5638	33518
72	5719	33452
73	5800	33391
74	5879	33319
75	5955	33222
76	6027	33114
77	6098	32996
78	6178	32926
79	6253	32830
80	6326	32727
81	6393	32590
82	6469	32502
83	6536	32371
84	6609	32269
85	6681	32163
86	6761	32096
87	6838	32014
88	6916	31938
89	6979	31796
90	7049	31686
91	7131	31627
92	7208	31547
93	7288	31478
94	7370	31420
95	7445	31334
96	7516	31229
97	7593	31149
98	7671	31074
99	7746	30984
100	7824	30911
101	7900	30829
102	7972	30730
103	8044	30630
104	8118	30539
105	8191	30446
106	8264	30353
107	8336	30258
108	8405	30151
109	8474	30045
110	8546	29951
111	8617	29854
112	8688	29754
113	8765	29680
114	8843	29605
115	8917	29521
116	8995	29446
117	9072	29370
118	9139	29260
119	9210	29167
120	9282	29073
121	9358	28995
122	9434	28918
123	9506	28825
124	9582	28746
125	9652	28650
126	9723	28557
127	9796	28472
128	9871	28389
129	9950	28319
130	10016	28215
131	10091	28134
132	10163	28045
133	10236	27958
134	10309	27874
135	10377	27776
136	10449	27686
137	10521	27600
138	10595	27518
139	10669	27434
140	10743	27354
141	10821	27282
142	10894	27197
143	10966	27110
144	11042	27035
145	11113	26947
146	11189	26869
147	11265	26792
148	11335	26704
149	11415	26635
150	11489	26555
151	11571	26492
152	11648	26419
153	11723	26338
154	11798	26261
155	11882	26202
156	11958	26125
157	12035	26050
158	12113	25979
159	12196	25916
160	12268	25833
161	12349	25765
162	12429	25697
163	12505	25621
164	12582	25546
165	12656	25466
166	12732	25388
167	12812	25319
168	12891	25248
169	12966	25170
170	13040	25090
171	13114	25008
172	13194	24939
173	13266	24855
174	13337	24769
175	13410	24687
176	13480	24600
177	13557	24524
178	13616	24418
179	13688	24335
180	13768	24265
181	13837	24178
182	13913	24101
183	13992	24030
184	14069	23955
185	14147	23883
186	14221	23804
187	14295	23724
188	14373	23651
189	14452	23579
190	14526	23501
191	14599	23419
192	14678	23348
193	14754	23272
194	14828	23193
195	14898	23108
196	14973	23029
197	15056	22965
198	15139	22899
199	15213	22819
200	15293	22749
201	15364	22666
202	15450	22605
203	15532	22537
204	15611	22465
205	15694	22398
206	15758	22305
207	15826	22217
208	15900	22138
209	15978	22065
210	16049	21982
