iter	MultiClass
0	1.071605234
1	1.045796794
2	1.023229296
3	1.001092932
4	0.980037668
5	0.9596799742
6	0.9416305317
7	0.9261042211
8	0.911161172
9	0.8975616113
10	0.8852328205
11	0.8733378178
12	0.8613677101
13	0.8507420263
14	0.839523304
15	0.8303468106
16	0.8198376605
17	0.8115847655
18	0.8034266754
19	0.7965912719
20	0.7887868683
21	0.7827494661
22	0.7757186907
23	0.7680837201
24	0.7621349188
25	0.7576521887
26	0.7522591481
27	0.7442948171
28	0.7395116983
29	0.733814485
30	0.7293030997
31	0.7248794657
32	0.7191401647
33	0.7151297642
34	0.7110317418
35	0.7051780854
36	0.7016655888
37	0.6978616223
38	0.693774912
39	0.6894994532
40	0.6853377843
41	0.6819826888
42	0.6774235156
43	0.6735733033
44	0.6685094892
45	0.6658230371
46	0.6603097207
47	0.6572394831
48	0.6529260427
49	0.6494285777
50	0.6462076148
51	0.643362351
52	0.6402377595
53	0.6382654217
54	0.6339492274
55	0.6318787726
56	0.6278077747
57	0.6263835858
58	0.6236390328
59	0.6206781681
60	0.6195096153
61	0.6146741156
62	0.6116920133
63	0.6097723525
64	0.6070036215
65	0.6039649987
66	0.6015227788
67	0.5984740932
68	0.5958678107
69	0.5934813863
70	0.5913168176
71	0.5884838386
72	0.5866345069
73	0.5831650689
74	0.581575213
75	0.5793873268
76	0.5776130678
77	0.5747566857
78	0.5723360584
79	0.5706819046
80	0.5691233245
81	0.5676829785
82	0.5645750507
83	0.5602668585
84	0.5572222424
85	0.5550511299
86	0.5535175662
87	0.5498054726
88	0.5474515014
89	0.5457582408
90	0.5436544091
91	0.5403339531
92	0.5377875288
93	0.5354023852
94	0.5338346594
95	0.5316842591
96	0.5296508038
97	0.5267756987
98	0.5247642808
99	0.5219019643
100	0.5196802016
101	0.5184588778
102	0.5169299648
103	0.5141824395
104	0.5118866367
105	0.5098039982
106	0.5081263338
107	0.5068018259
108	0.5055752361
109	0.5037714974
110	0.5022342977
111	0.5009112066
112	0.4989587278
113	0.4973192357
114	0.494146017
115	0.4928641372
116	0.4907632818
117	0.4890316912
118	0.4874950305
119	0.4862470298
120	0.4842135976
121	0.4815572925
122	0.4803598796
123	0.4772637856
124	0.475812153
125	0.4734732101
126	0.4716983014
127	0.4704848922
128	0.4694756896
129	0.4674712097
130	0.4664648311
131	0.4654922542
132	0.4621143032
133	0.4602394363
134	0.4589179191
135	0.4569498482
136	0.4553286635
137	0.4546122831
138	0.4531314375
139	0.4516189763
140	0.4494963444
141	0.4483754864
142	0.4463291995
143	0.4450740017
144	0.4431904793
145	0.4419237236
146	0.4402874348
147	0.4394196995
148	0.4371940307
149	0.4358794275
150	0.4342950767
151	0.4329905137
152	0.4320548474
153	0.4311434449
154	0.4296081007
155	0.4281316061
156	0.4265033628
157	0.4248459939
158	0.4236108652
159	0.4225943029
160	0.4216831475
161	0.4207628735
162	0.4193094034
163	0.4182146895
164	0.4164970147
165	0.4151858707
166	0.4138739298
167	0.413230278
168	0.4115777982
169	0.4110387691
170	0.4095407443
171	0.4088501472
172	0.4076078583
173	0.4068222613
174	0.4062545529
175	0.4048231381
176	0.4040327483
177	0.4024786201
178	0.4012764551
179	0.400262393
180	0.3986692126
181	0.3974534034
182	0.3955988492
183	0.394240397
184	0.3933712058
185	0.3926119128
186	0.3902248601
187	0.3890998717
188	0.388009515
189	0.3869656163
190	0.3865328779
191	0.3852220672
192	0.3839753661
193	0.3826275225
194	0.3817930685
195	0.3809250847
196	0.3800983975
197	0.3792747872
198	0.3783391825
199	0.3779314897
200	0.3768199808
201	0.3756773453
202	0.3738780367
203	0.3728372033
204	0.3715731985
205	0.3705174707
206	0.3691210037
207	0.3682819547
208	0.3674624041
209	0.3667823748
210	0.3662019351
211	0.3652050749
212	0.3641081913
213	0.3635376671
214	0.3621445736
215	0.3615615253
216	0.3608891603
217	0.3593882214
218	0.3580211911
219	0.3565775417
220	0.3557520992
221	0.3552486932
222	0.3547194824
223	0.3543411967
224	0.353835568
225	0.3521377926
226	0.3511582489
227	0.3503454497
228	0.3494790331
229	0.3487769796
230	0.3481400111
231	0.3471010334
232	0.3465889805
233	0.3453331219
234	0.3438578951
235	0.3434438299
236	0.3417223364
237	0.3408709483
238	0.3401725506
239	0.3398777691
240	0.3389601568
241	0.3381457161
242	0.3370869191
243	0.3361872863
244	0.3357101049
245	0.3347320237
246	0.3338577561
247	0.3331913573
248	0.3326949768
249	0.331750459
250	0.3309671491
251	0.330058051
252	0.3293221589
253	0.3286220127
254	0.3274643061
255	0.327158785
256	0.3260959983
257	0.3254532112
258	0.3248695875
259	0.324354181
260	0.3232238337
261	0.3227618699
262	0.3222309836
263	0.3201116337
264	0.3195089959
265	0.3181043608
266	0.3172900249
267	0.3166158297
268	0.3158602164
269	0.3149476882
270	0.3146125194
271	0.3137187115
272	0.312914299
273	0.3121188957
274	0.3113829487
275	0.3104887192
276	0.3095800526
277	0.309381129
278	0.3085261416
279	0.3078091998
280	0.3072556448
281	0.3063054493
282	0.3055101798
283	0.3044183917
284	0.3040808784
285	0.3030302251
286	0.3020571327
287	0.3013581206
288	0.2998242431
289	0.2991852568
290	0.2979424913
291	0.2975269914
292	0.2969618097
