iter	Passed	Remaining
0	181	90589
1	294	73341
2	405	67115
3	535	66407
4	645	63869
5	758	62452
6	880	62030
7	972	59798
8	1065	58129
9	1159	56803
10	1247	55455
11	1346	54753
12	1616	60546
13	1790	62139
14	1920	62094
15	2016	60992
16	2132	60581
17	2254	60359
18	2342	59291
19	2438	58518
20	2536	57847
21	2643	57437
22	2745	56948
23	2837	56285
24	2937	55820
25	3027	55201
26	3125	54762
27	3229	54448
28	3321	53950
29	3424	53647
30	3518	53226
31	3615	52870
32	3705	52434
33	3798	52064
34	3902	51849
35	4027	51912
36	4126	51636
37	4217	51270
38	4321	51087
39	4422	50856
40	4528	50692
41	4626	50446
42	4730	50270
43	4833	50097
44	4933	49879
45	5035	49696
46	5131	49463
47	5232	49271
48	5345	49204
49	5455	49098
50	5566	49003
51	5684	48975
52	5797	48899
53	5905	48771
54	6025	48751
55	6155	48803
56	6266	48705
57	6453	49179
58	6748	50444
59	7056	51750
60	7310	52614
61	7653	54064
62	8016	55609
63	8323	56701
64	8619	57683
65	8787	57784
66	8940	57781
67	9105	57844
68	9250	57781
69	9389	57676
70	9514	57490
71	9639	57299
72	9761	57097
73	9890	56936
74	10020	56784
75	10155	56655
76	10299	56579
77	10444	56508
78	10615	56570
79	10766	56524
80	10914	56457
81	11071	56438
82	11229	56417
83	11358	56253
84	11561	56447
85	11916	57364
86	12239	58100
87	12475	58408
88	12701	58653
89	13009	59264
90	13211	59377
91	13361	59255
92	13509	59121
93	13644	58932
94	13779	58742
95	13918	58571
96	14069	58454
97	14217	58320
98	14362	58176
99	14510	58043
100	14650	57878
101	14811	57792
102	14945	57605
103	15081	57426
104	15208	57211
105	15340	57019
106	15466	56807
107	15608	56651
108	15757	56522
109	15908	56403
110	16060	56283
111	16288	56427
112	16557	56705
113	16748	56711
114	16902	56588
115	17119	56670
116	17276	56555
117	17418	56389
118	17669	56571
119	17901	56687
120	18173	56924
121	18484	57270
122	18763	57511
123	19035	57719
124	19300	57902
125	19474	57805
126	19613	57604
127	19802	57552
128	20002	57527
129	20156	57369
130	20319	57235
131	20475	57083
132	20662	57016
133	20828	56889
134	20960	56670
135	21092	56453
136	21251	56307
137	21400	56137
138	21554	55978
139	21708	55821
140	21866	55673
141	22006	55482
142	22145	55285
143	22315	55169
144	22527	55153
145	22707	55058
146	22857	54889
147	23223	55233
148	23636	55681
149	23981	55957
150	24295	56153
151	24670	56483
152	24964	56618
153	25127	56455
154	25279	56268
155	25455	56132
156	25639	56014
157	25828	55907
158	25987	55735
159	26128	55522
160	26268	55311
161	26410	55102
162	26567	54927
163	26756	54818
164	26927	54671
165	27200	54728
166	27414	54664
167	27615	54573
168	27767	54384
169	27997	54347
170	28170	54199
171	28342	54048
172	28493	53858
173	28647	53673
174	28990	53839
175	29243	53834
176	29553	53931
177	29768	53851
178	30061	53910
179	30378	54005
180	30692	54094
181	30994	54154
182	31291	54204
183	31507	54110
184	31734	54035
185	31933	53910
186	32245	53971
187	32559	54035
188	32850	54055
189	33142	54074
190	33418	54065
191	33637	53960
192	33794	53756
193	33963	53570
194	34110	53352
195	34256	53132
196	34418	52937
197	34568	52725
198	34705	52494
199	34880	52320
200	35039	52123
201	35189	51913
202	35364	51740
203	35530	51553
204	35704	51380
205	35873	51197
206	36273	51343
207	36745	51585
208	37014	51536
209	37265	51462
210	37534	51409
211	37723	51246
212	37902	51070
213	38051	50854
214	38188	50622
215	38331	50398
216	38480	50183
217	38616	49952
218	38785	49765
219	38973	49603
220	39126	49394
221	39261	49164
222	39403	48944
223	39546	48727
224	39691	48512
225	39837	48298
226	39981	48083
227	40117	47858
228	40266	47651
229	40416	47445
230	40569	47243
231	40741	47063
232	40918	46889
233	41065	46681
234	41191	46450
235	41308	46209
236	41426	45971
237	41538	45727
238	41658	45493
239	41773	45254
240	41882	45010
241	42003	44780
242	42115	44541
243	42235	44313
244	42361	44090
245	42486	43868
246	42610	43645
247	42734	43424
248	42861	43205
249	42996	42996
250	43171	42827
251	43319	42632
252	43445	42415
253	43569	42197
254	43698	41984
255	43826	41771
256	43946	41552
257	44074	41341
258	44200	41128
259	44338	40927
260	44460	40712
261	44581	40497
262	44705	40285
263	44825	40071
264	44947	39859
265	45070	39648
266	45195	39439
267	45315	39228
268	45434	39016
269	45556	38807
270	45672	38594
271	45789	38382
272	45914	38177
